id,name,date,venue,location,attendance
143,UFC 108: Evans vs. Silva,2010-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13529.0
144,UFC Fight Night: Maynard vs. Diaz,2010-01-11,EagleBank Arena,"Fairfax, Virginia, U.S.",8078.0
145,UFC 109: Relentless,2010-02-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10753.0
146,UFC 110: Nogueira vs. Velasquez,2010-02-21,Qudos Bank Arena,"Sydney, Australia",17831.0
147,UFC Live: Vera vs. Jones,2010-03-21,1stBank Center,"Broomfield, Colorado, U.S.",6443.0
148,UFC 111: St-Pierre vs. Hardy,2010-03-27,Prudential Center,"Newark, New Jersey, U.S.",17000.0
149,UFC Fight Night: Florian vs. Gomi,2010-03-31,Bojangles Coliseum,"Charlotte, North Carolina, U.S.",7700.0
150,UFC 112: Invincible,2010-04-10,du Arena,"Abu Dhabi, United Arab Emirates",11008.0
151,UFC 113: Machida vs. Shogun 2,2010-05-08,Bell Centre,"Montreal, Quebec, Canada",17647.0
152,UFC 114: Rampage vs. Evans,2010-05-29,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14996.0
153,UFC 115: Liddell vs. Franklin,2010-06-12,Rogers Arena,"Vancouver, British Columbia, Canada",17669.0
154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2010-06-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1708.0
155,UFC 116: Lesnar vs. Carwin,2010-07-03,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12740.0
156,UFC Live: Jones vs. Matyushenko,2010-08-01,Pechanga Arena,"San Diego, California, U.S.",8132.0
157,UFC 117: Silva vs. Sonnen,2010-08-07,Oracle Arena,"Oakland, California, U.S.",12971.0
158,UFC 118: Edgar vs. Penn 2,2010-08-28,TD Garden,"Boston, Massachusetts, U.S.",14168.0
159,UFC Fight Night: Marquardt vs. Palhares,2010-09-15,Frank Erwin Center,"Austin, Texas, U.S.",7724.0
160,UFC 119: Mir vs. Cro Cop,2010-09-25,Conseco Fieldhouse,"Indianapolis, Indiana, U.S.",15811.0
161,UFC 120: Bisping vs. Akiyama,2010-10-16,The O2 Arena,"London, England, UK",17133.0
162,UFC 121: Lesnar vs. Velasquez,2010-10-23,Honda Center,"Anaheim, California, U.S.",14856.0
163,UFC 122: Marquardt vs. Okami,2010-11-13,Rudolf Weber-Arena,"Oberhausen, Germany",8421.0
164,UFC 123: Rampage vs. Machida,2010-11-20,The Palace of Auburn Hills,"Auburn Hills, Michigan, U.S.",16404.0
165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2010-12-04,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1903.0
166,UFC 124: St-Pierre vs. Koscheck 2,2010-12-11,Bell Centre,"Montreal, Quebec, Canada",23152.0
167,UFC 125: Resolution,2011-01-01,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12874.0
168,UFC: Fight for the Troops 2,2011-01-22,Fort Hood,"Fort Hood, Texas, U.S.",3200.0
169,UFC 126: Silva vs. Belfort,2011-02-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10893.0
170,UFC 127: Penn vs. Fitch,2011-02-27,Qudos Bank Arena,"Sydney, Australia",18186.0
171,UFC Live: Sanchez vs. Kampmann,2011-03-03,KFC Yum! Center,"Louisville, Kentucky, U.S.",8319.0
172,UFC 128: Shogun vs. Jones,2011-03-19,Prudential Center,"Newark, New Jersey, U.S.",12619.0
173,UFC Fight Night: Nogueira vs. Davis,2011-03-26,Climate Pledge Arena,"Seattle, Washington, U.S.",13741.0
174,UFC 129: St-Pierre vs. Shields,2011-04-30,Rogers Centre,"Toronto, Ontario, Canada",55724.0
175,UFC 130: Rampage vs. Hamill,2011-05-28,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12753.0
176,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2011-06-04,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2053.0
177,UFC 131: dos Santos vs. Carwin,2011-06-11,Rogers Arena,"Vancouver, British Columbia, Canada",14685.0
178,UFC Live: Kongo vs. Barry,2011-06-26,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.",7792.0
179,UFC 132: Cruz vs. Faber,2011-07-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13109.0
180,UFC 133: Evans vs. Ortiz,2011-08-06,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.",11583.0
181,UFC Live: Hardy vs. Lytle,2011-08-14,BMO Harris Bradley Center,"Milwaukee, Wisconsin, U.S.",6751.0
182,UFC 134: Silva vs. Okami,2011-08-27,Farmasi Arena,"Rio de Janeiro, Brazil",14000.0
183,UFC Fight Night: Shields vs. Ellenberger,2011-09-17,Ernest N. Morial Convention Center,"New Orleans, Louisiana, U.S.",7112.0
184,UFC 135: Jones vs. Rampage,2011-09-24,Ball Arena,"Denver, Colorado, U.S.",16344.0
185,UFC Live: Cruz vs. Johnson,2011-10-01,Capital One Arena,"Washington, D.C., U.S.",9380.0
186,UFC 136: Edgar vs. Maynard III,2011-10-08,Toyota Center,"Houston, Texas, U.S.",16164.0
187,UFC 137: Penn vs. Diaz,2011-10-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10313.0
188,UFC 138: Leben vs. Muñoz,2011-11-05,LG Arena,"Birmingham, England, UK",10823.0
189,UFC on Fox: Velasquez vs. dos Santos,2011-11-12,Honda Center,"Anaheim, California, U.S.",11607.0
190,UFC 139: Shogun vs. Henderson,2011-11-19,SAP Center,"San Jose, California, U.S.",13832.0
191,The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2011-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1909.0
192,UFC 140: Jones vs. Machida,2011-12-10,Scotiabank Arena,"Toronto, Ontario, Canada",18303.0
193,UFC 141: Lesnar vs. Overeem,2011-12-30,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",13793.0
194,UFC 142: Aldo vs. Mendes,2012-01-14,Farmasi Arena,"Rio de Janeiro, Brazil",10605.0
195,UFC on FX: Guillard vs. Miller,2012-01-20,Bridgestone Arena,"Nashville, Tennessee, U.S.",7728.0
196,UFC on Fox: Evans vs. Davis,2012-01-28,United Center,"Chicago, Illinois, U.S.",16963.0
197,UFC 143: Diaz vs. Condit,2012-02-04,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",9015.0
198,UFC on Fuel TV: Sanchez vs. Ellenberger,2012-02-15,Omaha Civic Auditorium,"Omaha, Nebraska, U.S.",6283.0
199,UFC 144: Edgar vs. Henderson,2012-02-26,Saitama Super Arena,"Saitama, Japan",21000.0
200,UFC on FX: Alves vs. Kampmann,2012-03-03,Qudos Bank Arena,"Sydney, Australia",14537.0
201,UFC on Fuel TV: Gustafsson vs. Silva,2012-04-14,Avicii Arena,"Stockholm, Sweden",15428.0
202,UFC 145: Jones vs. Evans,2012-04-21,State Farm Arena,"Atlanta, Georgia, U.S.",15545.0
203,UFC on Fox: Diaz vs. Miller,2012-05-05,Meadowlands Arena,"East Rutherford, New Jersey, U.S.",10788.0
204,UFC on Fuel TV: The Korean Zombie vs. Poirier,2012-05-15,EagleBank Arena,"Fairfax, Virginia, U.S.",6668.0
205,UFC 146: dos Santos vs. Mir,2012-05-26,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14674.0
206,The Ultimate Fighter: Live Finale,2012-06-01,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1628.0
207,UFC on FX: Johnson vs. McCall 2,2012-06-08,Amerant Bank Arena,"Sunrise, Florida, U.S.",6635.0
208,UFC on FX: Maynard vs. Guida,2012-06-22,Revel Casino Hotel,"Atlantic City, New Jersey, U.S.",4652.0
